dataset,message_size_bytes,measured_rtt_microseconds,predicted_rtt_microseconds,relative_error_percent,absolute_error_milliseconds
school_cluster_2,4194304.0,751.801756,1007.1536564239999,25.353817542663005,0.25535190042399997
school_cluster_3,4.0,0.702341,0.9159206240000001,23.318573509924594,0.0002135796240000001
school_cluster_3,8.0,0.676765,0.916880248,26.188288876738902,0.00024011524800000007
school_cluster_3,16.0,0.863578,0.918799496,6.010179178417839,5.5221496000000036e-05
school_cluster_3,32.0,0.880897,0.9226379920000001,4.524092044976187,4.174099200000003e-05
school_cluster_3,64.0,1.053699,0.930314984,13.262606549611366,0.00012338401599999992
school_cluster_3,128.0,0.952379,0.945668968,0.7095540011417587,6.710031999999977e-06
school_cluster_3,256.0,1.077896,0.976376936,10.39752786622563,0.00010151906399999999
school_cluster_3,512.0,1.578983,1.037792872,52.14818318775271,0.000541190128
school_cluster_3,1024.0,1.672407,1.160624744,44.09541142783012,0.0005117822560000001
school_cluster_3,2048.0,2.182095,1.406288488,55.16695319772823,0.000775806512
school_cluster_3,4096.0,5.097708,1.897615976,168.63749380659726,0.0032000920239999998
school_cluster_3,8192.0,6.791877,2.880270952,135.80687765794613,0.0039116060480000004
school_cluster_3,16384.0,10.507705,4.845580904,116.85129622592716,0.005662124096
school_cluster_3,32768.0,17.68581,8.776200808,101.52011544538031,0.008909609192
school_cluster_3,65536.0,31.614748,16.637440616,90.02170303524045,0.014977307383999999
school_cluster_3,131072.0,33.145731,32.359920232,2.428345812864294,0.0007858107679999975
school_cluster_3,262144.0,60.975796,63.804879463999995,4.433960988197179,0.002829083463999993
school_cluster_3,524288.0,117.087708,126.694797928,7.582860610788182,0.009607089927999994
school_cluster_3,1048576.0,225.273199,252.474634856,10.773928189465229,0.02720143585599999
school_cluster_3,2097152.0,403.737774,504.034308712,19.89875152909648,0.10029653471199998
school_cluster_3,4194304.0,735.629938,1007.1536564239999,26.959512750822164,0.27152371842399986
school_cluster_4,4.0,0.700262,0.9159206240000001,23.54555824479393,0.00021565862400000003
school_cluster_4,8.0,0.685666,0.916880248,25.217496887336154,0.00023121424800000002
school_cluster_4,16.0,0.865746,0.918799496,5.774219101225974,5.305349599999998e-05
school_cluster_4,32.0,0.884983,0.9226379920000001,4.081231460930357,3.765499200000011e-05
school_cluster_4,64.0,1.043444,0.930314984,12.160291723303043,0.00011312901600000002
school_cluster_4,128.0,0.951732,0.945668968,0.6411368253758776,6.063032000000024e-06
school_cluster_4,256.0,1.076842,0.976376936,10.28957775381127,0.0001004650640000001
school_cluster_4,512.0,1.427374,1.037792872,37.53939138637675,0.0003895811279999999
school_cluster_4,1024.0,1.730564,1.160624744,49.10624721266498,0.000569939256
school_cluster_4,2048.0,2.248179,1.406288488,59.866131251442056,0.000841890512
school_cluster_4,4096.0,5.28055,1.897615976,178.27284691873822,0.0033829340239999997
school_cluster_4,8192.0,6.976118,2.880270952,142.20353280152094,0.0040958470479999995
school_cluster_4,16384.0,10.632947,4.845580904,119.43596053101828,0.005787366095999999
school_cluster_4,32768.0,17.989167,8.776200808,104.97670226052556,0.009212966191999999
school_cluster_4,65536.0,31.840599,16.637440616,91.37918947328552,0.015203158384000002
school_cluster_4,131072.0,33.611545,32.359920232,3.8678240212789388,0.0012516247679999993
school_cluster_4,262144.0,61.773375,63.804879463999995,3.183932766687867,0.0020315044639999938
school_cluster_4,524288.0,118.182224,126.694797928,6.7189608943830885,0.008512573927999995
school_cluster_4,1048576.0,225.811686,252.474634856,10.56064458562632,0.026662948855999985
school_cluster_4,2097152.0,401.347154,504.034308712,20.37304860742612,0.10268715471199999
school_cluster_4,4194304.0,732.774957,1007.1536564239999,27.24298300203854,0.27437869942399995
school_cluster_5,4.0,0.697621,0.9159206240000001,23.833902008521648,0.00021829962400000003
school_cluster_5,8.0,0.67406,0.916880248,26.483311046307982,0.00024282024800000002
school_cluster_5,16.0,0.903321,0.918799496,1.684643501371702,1.5478495999999953e-05
school_cluster_5,32.0,0.883539,0.9226379920000001,4.237739215057178,3.909899200000011e-05
school_cluster_5,64.0,1.06394,0.930314984,14.363416509262642,0.0001336250160000001
school_cluster_5,128.0,0.962315,0.945668968,1.7602387900286935,1.6646032000000034e-05
school_cluster_5,256.0,1.0976,0.976376936,12.415600935497718,0.00012122306399999994
school_cluster_5,512.0,1.429629,1.037792872,37.756679446532175,0.000391836128
school_cluster_5,1024.0,1.473681,1.160624744,26.973081318349017,0.0003130562560000001
school_cluster_5,2048.0,2.01958,1.406288488,43.61064726286802,0.000613291512
school_cluster_5,4096.0,4.916051,1.897615976,159.06458747056843,0.003018435024
school_cluster_5,8192.0,6.717425,2.880270952,133.22198195748078,0.0038371540480000004
school_cluster_5,16384.0,10.247537,4.845580904,111.4821154165585,0.005401956095999999
school_cluster_5,32768.0,17.072941,8.776200808,94.53680896222264,0.008296740192
school_cluster_5,65536.0,30.393102,16.637440616,82.6789510567591,0.013755661383999999
school_cluster_5,131072.0,34.297621,32.359920232,5.987965217800043,0.0019377007679999992
school_cluster_5,262144.0,63.489234,63.804879463999995,0.4947042712902322,0.00031564546399999216
school_cluster_5,524288.0,122.332717,126.694797928,3.4429834526267964,0.004362080927999997
school_cluster_5,1048576.0,237.362311,252.474634856,5.98568005242165,0.015112323855999988
school_cluster_5,2097152.0,413.450801,504.034308712,17.97169481249707,0.09058350771199997
school_cluster_5,4194304.0,740.836494,1007.1536564239999,26.442555286904852,0.2663171624239999
